HeroID,Rank,Class,Name,Gender,Abilities
1,S-1,S-Class,Blast ,Male,"['Superhuman Physical Prowess', 'Portal Creation', 'Gravity Manipulation']"
2,S-2,S-Class,Tatsumaki ,Female,['Psychokinesis']
3,S-3,S-Class,Silver Fang,Male,"['Superhuman Physical Prowess', 'Master Martial Artist']"
4,S-4,S-Class,Atomic Samurai,Male,"['Superhuman Physical Prowess', 'Master Swordsmanship']"
5,S-5,S-Class,Child Emperor,Male,['Genius Intellect']
6,S-6,S-Class,Metal Knight,Male,['Genius Intellect']
7,S-7,S-Class,King,Male,"['Extreme Luck', 'Master Gamer', 'Intimidating Aura']"
8,S-8,S-Class,Zombieman,Male,['Regeneration']
9,S-9,S-Class,Drive Knight,Male,"['Superhuman Physical Characteristics', 'Transformation Flight', 'Fire Manipulation', 'Energy Projection']"
10,S-10,S-Class,Pig God,Male,"['Superhuman Physical Prowess', 'Inhuman Digestive System Elasticity']"
11,S-11,S-Class,Supperalloy Darkshine,Male,"['Superhuman Physical Prowess', 'Master Hand-to-Hand Combatant']"
12,S-12,S-Class,Watchdog Man,Male,"['Superhuman Physical Prowess', 'Dog Attributes']"
13,S-13,S-Class,Flashy flash,Male,"['Superhuman Speed and Agility', 'Master Swordsman', 'Ninjutsu Master', 'Afterimage Creation', 'Skilled Hand-to-Hand Combatant', 'Air Manipulation']"
14,S-14,S-Class,Genos,Male,"[Full Cyborg Weaponry, 'Flight', 'Fire Manipulation', 'Electricity Manipulation', 'Energy Projection', 'Self Destruction', 'Highly Skilled and Strategic Combatant']"
15,S-15,S-Class,Metal Bat,Male,"['Superhuman Physical Prowess', 'Fighting Spirit', 'Healing Factor', 'Indomitable Will']"
16,S-16,S-Class,Tanktop Master,Male,"['Superhuman Physical Prowess', 'Expert Marksmanship']"
17,S-17,S-Class,Puri-Puri Prisoner,Male,"['Superhuman Physical Prowess', 'Healing Factor']"
18,A-1,A-Class,Amai Mask,Male,"['Superhuman Physical Prowess', 'Regeneration', 'Transformation']"
19,A-2,A-Class,Iaian,Male,"['Superhuman Speed', 'Superhuman Strength', 'Expert Swordsman']"
20,A-3,A-Class,Okamaitachi,Female,['Expert Swordsman']
21,A-4,A-Class,Bushidrill,Male,"['Superhuman Strength', 'Superhuman Speed', 'Skilled Swordsman']"
22,A-5,A-Class,Heavy Tank Loincloth,Male,"['Enhanced Strength', 'Enhanced Speed']"
23,A-6,A-Class,Blue fire,Male,['Fire Manipulation']
24,A-7,A-Class,Magic Trick Man,Male,['Magic Tricks']
25,A-8,A-Class,Death Gatling,Male,"['Enhanced Strength', 'Enhanced Stamina']"
26,A-9,A-Class,Tanktop Vegetarian ,Male,['Enhanced Strength']
27,A-10,A-Class,Stinger,Male,"['Superhuman Physical Prowess', 'Expert Spearman']"
28,A-11,A-Class,Twin Tail,Female,['Juggling']
29,A-13,A-Class,Great Philosopher,Male,['Enhanced Strength']
30,A-16,A-Class,Butterfly DX,Male,['Flight']
31,A-17,A-Class,Lightning Genji,Male,"['Speed', 'Strength']"
32,A-19,A-Class,Lightning Max,Male,"['Martial Artist', 'Enhanced Speed']"
33,A-22,A-Class,One Shotter,Male,['Marksmanship']
34,A-24,A-Class,Green,Male,['Plant Manipulation']
35,A-25,A-Class,Crescent Eyebroll,Male,"['Speed', 'Enhanced Reflexes']"
36,A-26,A-Class,Golden Ball,Male,['Sharpshooting']
37,A-27,A-Class,Smile Man,Male,['Durability']
38,A-28,A-Class,Spring Mustachio,Male,['Superhuman Speed Swordsmanship']
39,A-29,A-Class,Narcissistoic,Male,['Enhanced Strength']
40,A-30,A-Class,Peach Terry ,Male,['Skilled Swordsman']
41,A-31,A-Class,Forte,Male,['Rhythm Fighting']
42,A-32,A-Class,Shadow Ring,Female,"['Enhanced Speed', 'Enhanced Reflexes']"
43,A-33,A-Class,Doll Master,Male,['Puppetry']
44,A-34,A-Class,Feather,Male,['Speed']
45,A-35,A-Class,Air,Male,['Marksmanship']
46,A-36,A-Class,Chain'n'toad,Male,['Reflexes']
47,A-37,A-Class,Sneck,Male,['Skilled Martial Artist']
48,A-39,A-Class,Saitama,Male,"['Unparalleled Physical Prowess', 'Supernatural Reflexes and Senses', 'Invulnerability', 'Indomitable Will', 'Accelerated Development', 'Afterimage Creation', 'Shockwave Generation', 'Non-Physical Interaction', 'Technique Mimicry', 'Time Travel']"
49,???,A-Class,Heavy Kong,Male,['Strength']
50,B-1,B-Class,Blizzard of Hell,Female,['Psychokinesis']
51,B-2,B-Class,Eyelashes,Male,
52,B-3,B-Class,Mountain Ape,Male,
53,B-6,B-Class,Wild Horn ,Male,
54,B-20,B-Class,Glasses,Male,
55,B-25,B-Class,Pink Hornet,Female,
56,B-29,B-Class,Double Hole,Male,
57,B-39,B-Class,Smell Master,Male,
58,B-43,B-Class,Gun Gun,Male,
59,B-49,B-Class,Butcher,Male,
